step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
10,1,119,0.078297,5.00e-06,0.1193,3.97,7.80,7.7
20,1,194,0.085455,1.00e-05,0.3012,3.97,7.80,7.6
30,1,268,0.118859,1.50e-05,0.2087,3.97,7.80,7.6
40,1,343,0.101732,2.00e-05,0.2049,3.97,7.80,7.5
50,1,418,0.075701,2.50e-05,0.1217,3.97,7.80,7.5
60,1,493,0.090965,3.00e-05,0.4160,3.97,7.80,7.5
70,1,568,0.096271,3.50e-05,0.1721,3.97,7.80,7.5
80,1,643,0.058217,4.00e-05,0.0973,3.97,7.80,7.5
90,1,717,0.080986,4.50e-05,0.1465,3.97,7.80,7.5
100,1,792,0.098250,5.00e-05,0.1541,3.97,7.80,7.5
110,1,867,0.096489,5.50e-05,0.1889,3.97,7.80,7.5
120,1,942,0.059656,6.00e-05,0.1054,3.97,7.80,7.5
130,1,1017,0.047666,6.50e-05,0.1094,3.97,7.80,7.5
140,1,1092,0.089735,7.00e-05,0.2498,3.97,7.80,7.5
150,1,1166,0.069499,7.50e-05,0.1135,3.97,7.80,7.5
160,1,1242,0.090011,8.00e-05,0.1828,3.97,7.80,7.5
170,1,1317,0.072137,8.50e-05,0.1154,3.97,7.80,7.5
180,1,1392,0.054456,9.00e-05,0.0791,3.97,7.80,7.5
190,1,1467,0.071003,9.50e-05,0.1412,3.97,7.80,7.5
200,1,1542,0.053585,1.00e-04,0.1223,3.97,7.80,7.5
210,1,1617,0.052467,1.00e-04,0.1012,3.97,7.80,7.5
220,1,1692,0.049800,1.00e-04,0.0962,3.97,7.80,7.5
230,1,1767,0.077548,1.00e-04,0.1490,3.97,7.80,7.5
240,1,1842,0.050564,1.00e-04,0.1224,3.97,7.80,7.5
250,1,1917,0.042478,1.00e-04,0.0584,3.97,7.80,7.5
260,1,1992,0.056532,1.00e-04,0.0911,3.97,7.80,7.5
270,1,2067,0.053247,1.00e-04,0.1299,3.97,7.80,7.5
280,1,2142,0.061424,1.00e-04,0.1128,3.97,7.80,7.5
290,1,2217,0.056505,1.00e-04,0.1082,3.97,7.80,7.5
300,1,2292,0.063013,1.00e-04,0.0955,3.97,7.80,7.5
310,1,2367,0.064799,1.00e-04,0.1064,3.97,7.80,7.5
320,1,2442,0.079171,1.00e-04,0.1433,3.97,7.80,7.5
330,1,2518,0.055752,1.00e-04,0.1202,3.97,7.80,7.5
340,1,2593,0.054311,9.99e-05,0.1434,3.97,7.80,7.5
350,1,2668,0.035589,9.99e-05,0.0752,3.98,7.80,7.5
360,1,2743,0.059618,9.99e-05,0.2302,3.97,7.80,7.5
370,1,2818,0.048668,9.99e-05,0.1217,3.97,7.80,7.5
380,1,2893,0.052309,9.99e-05,0.1152,3.97,7.80,7.5
390,1,2968,0.059852,9.99e-05,0.1152,3.97,7.80,7.5
400,1,3043,0.065678,9.99e-05,0.1534,3.97,7.80,7.5
410,1,3118,0.056981,9.99e-05,0.1192,3.97,7.80,7.5
420,1,3193,0.056573,9.99e-05,0.1604,3.97,7.80,7.5
430,1,3268,0.061594,9.99e-05,0.1174,3.97,7.80,7.5
440,1,3343,0.063942,9.99e-05,0.1481,3.97,7.80,7.5
450,1,3418,0.064642,9.98e-05,0.0758,3.97,7.80,7.5
460,1,3493,0.058169,9.98e-05,0.1149,3.97,7.80,7.5
470,1,3568,0.044304,9.98e-05,0.0958,3.97,7.80,7.5
480,1,3643,0.037043,9.98e-05,0.0473,3.97,7.80,7.5
490,1,3718,0.048713,9.98e-05,0.1084,3.97,7.80,7.5
500,1,3794,0.046438,9.98e-05,0.0767,3.97,7.80,7.5
510,1,3869,0.042876,9.98e-05,0.0611,3.97,7.80,7.5
520,1,3944,0.060458,9.97e-05,0.1085,3.97,7.80,7.5
530,1,4019,0.049464,9.97e-05,0.0775,3.97,7.80,7.5
540,1,4094,0.046179,9.97e-05,0.0746,3.97,7.80,7.5
550,1,4169,0.048339,9.97e-05,0.0549,3.97,7.80,7.5
560,1,4244,0.040607,9.97e-05,0.0593,3.97,7.80,7.5
570,1,4319,0.042631,9.96e-05,0.0957,3.97,7.80,7.5
580,1,4395,0.050348,9.96e-05,0.0858,3.97,7.80,7.5
590,1,4470,0.067443,9.96e-05,0.1498,3.97,7.80,7.5
600,1,4545,0.037836,9.96e-05,0.0566,3.97,7.80,7.5
610,1,4620,0.045741,9.96e-05,0.0712,3.97,7.80,7.5
620,1,4695,0.065122,9.95e-05,0.1339,3.97,7.80,7.5
630,1,4770,0.046041,9.95e-05,0.0875,3.97,7.80,7.5
640,1,4845,0.049298,9.95e-05,0.1058,3.97,7.80,7.5
650,1,4920,0.043857,9.95e-05,0.0633,3.97,7.80,7.5
660,1,4996,0.044184,9.95e-05,0.0889,3.97,7.80,7.5
670,1,5071,0.075605,9.94e-05,0.1947,3.97,7.80,7.5
680,1,5146,0.041361,9.94e-05,0.0551,3.97,7.80,7.5
690,1,5221,0.050904,9.94e-05,0.0921,3.97,7.80,7.5
700,1,5296,0.048097,9.94e-05,0.1113,3.97,7.80,7.5
710,1,5371,0.050551,9.93e-05,0.0978,3.97,7.80,7.5
720,1,5446,0.060079,9.93e-05,0.0638,3.97,7.80,7.5
730,1,5521,0.036405,9.93e-05,0.0369,3.98,7.80,7.5
740,1,5596,0.038759,9.93e-05,0.0547,3.97,7.80,7.5
750,1,5671,0.048479,9.92e-05,0.0519,3.97,7.80,7.5
760,1,5746,0.055626,9.92e-05,0.0914,3.97,7.80,7.5
770,1,5821,0.042026,9.92e-05,0.0545,3.97,7.80,7.5
780,1,5896,0.059333,9.91e-05,0.1084,3.97,7.80,7.5
790,1,5971,0.051481,9.91e-05,0.0723,3.97,7.80,7.5
800,1,6046,0.040819,9.91e-05,0.0692,3.97,7.80,7.5
810,1,6121,0.047664,9.90e-05,0.0716,3.97,7.80,7.5
820,1,6197,0.069569,9.90e-05,0.2196,3.97,7.80,7.5
830,1,6272,0.070792,9.90e-05,0.1503,3.97,7.80,7.5
840,1,6348,0.053601,9.90e-05,0.0847,3.97,7.80,7.5
850,1,6424,0.059779,9.89e-05,0.0968,3.97,7.80,7.5
860,1,6499,0.037283,9.89e-05,0.0737,3.97,7.80,7.5
870,1,6574,0.048484,9.89e-05,0.0666,3.97,7.80,7.5
880,1,6650,0.056021,9.88e-05,0.0786,3.97,7.80,7.5
