step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
770,1,5975,0.040106,9.92e-05,0.0660,4.25,7.80,7.7
780,1,6057,0.049392,9.91e-05,0.0839,4.25,7.80,7.7
790,1,6138,0.048970,9.91e-05,0.1117,4.25,7.80,7.7
800,1,6219,0.044351,9.91e-05,0.0620,4.25,7.80,7.7
810,1,6297,0.058680,9.90e-05,0.1154,4.25,7.80,7.7
820,1,6374,0.049701,9.90e-05,0.1030,4.25,7.80,7.7
830,1,6453,0.048265,9.90e-05,0.0747,4.25,7.80,7.7
840,1,6534,0.045842,9.90e-05,0.0759,4.25,7.80,7.7
850,1,6617,0.035793,9.89e-05,0.0626,4.25,7.80,7.7
860,1,6699,0.042523,9.89e-05,0.0743,4.25,7.80,7.7
870,1,6777,0.046273,9.89e-05,0.0632,4.25,7.80,7.7
880,1,6859,0.039459,9.88e-05,0.0848,4.25,7.80,7.7
890,1,6938,0.044108,9.88e-05,0.0660,4.25,7.80,7.7
900,1,7017,0.045313,9.87e-05,0.0868,4.25,7.80,7.7
910,1,7100,0.073779,9.87e-05,0.2080,4.25,7.80,7.8
920,1,7181,0.054650,9.87e-05,0.1135,4.25,7.80,7.8
930,2,7264,0.038107,9.86e-05,0.0606,4.25,7.80,7.8
940,2,7343,0.042480,9.86e-05,0.0776,4.25,7.80,7.8
950,2,7431,0.048492,9.86e-05,0.0984,4.25,7.80,7.8
960,2,7520,0.069556,9.85e-05,0.1517,4.25,7.80,7.8
970,2,7608,0.042881,9.85e-05,0.0687,4.25,7.80,7.8
980,2,7697,0.045185,9.84e-05,0.0727,4.25,7.80,7.8
990,2,7786,0.039127,9.84e-05,0.0601,4.25,7.80,7.8
1000,2,7877,0.065334,9.84e-05,0.1237,4.25,7.80,7.8
1010,2,7967,0.060497,9.83e-05,0.0989,4.25,7.80,7.8
1020,2,8056,0.042887,9.83e-05,0.0842,4.25,7.80,7.9
1030,2,8144,0.039370,9.82e-05,0.0705,4.25,7.80,7.9
1040,2,8277,0.041658,9.82e-05,0.0954,4.25,7.80,7.9
1050,2,8405,0.052488,9.82e-05,0.1542,4.25,7.80,8.0
1060,2,8490,0.040221,9.81e-05,0.0555,4.25,7.80,8.0
