step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
4750,1,12316,0.033224,5.56e-05,0.0487,9.01,15.58,2.6
4760,1,12456,0.037899,5.54e-05,0.0626,9.01,15.58,2.6
4770,1,12596,0.031251,5.53e-05,0.0311,9.01,15.58,2.6
4780,1,12735,0.038573,5.51e-05,0.0458,9.01,15.58,2.6
4790,1,12874,0.037318,5.50e-05,0.0499,9.01,15.58,2.7
4800,1,13014,0.044933,5.48e-05,0.0373,9.01,15.58,2.7
4810,1,13154,0.026280,5.46e-05,0.0363,9.01,15.58,2.7
4820,1,13293,0.037329,5.45e-05,0.0602,9.01,15.58,2.7
4830,1,13433,0.036623,5.43e-05,0.0547,9.01,15.58,2.8
4840,1,13572,0.035848,5.42e-05,0.0393,9.01,15.58,2.8
4850,1,13712,0.023026,5.40e-05,0.0298,9.01,15.58,2.8
4860,1,13851,0.036499,5.38e-05,0.0639,9.01,15.58,2.8
4870,1,13991,0.029884,5.37e-05,0.0327,9.01,15.58,2.9
4880,1,14130,0.038407,5.35e-05,0.0411,9.01,15.58,2.9
4890,1,14269,0.048425,5.34e-05,0.0623,9.01,15.58,2.9
4900,1,14409,0.039851,5.32e-05,0.0420,9.01,15.58,2.9
4910,1,14549,0.038897,5.30e-05,0.0550,9.01,15.58,2.9
4920,1,14690,0.042610,5.29e-05,0.0583,9.01,15.58,3.0
4930,2,14834,0.029862,5.27e-05,0.0300,9.01,15.58,3.0
4940,2,14974,0.034849,5.26e-05,0.0414,9.01,15.58,3.0
4950,2,15114,0.031703,5.24e-05,0.0369,9.01,15.58,3.0
4960,2,15256,0.039247,5.22e-05,0.0459,9.01,15.58,3.1
4970,2,15396,0.034308,5.21e-05,0.0615,9.01,15.58,3.1
4980,2,15537,0.032628,5.19e-05,0.0429,9.01,15.58,3.1
4990,2,15680,0.033109,5.18e-05,0.0396,9.01,15.58,3.1
5000,2,15823,0.034044,5.16e-05,0.0601,9.01,15.58,3.1
